月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
1,18,2,-0.5,3,0,0,55.55555556,0,0
1,18,3,-0.7,2.9,0,0,50,0,0
1,18,4,-1,2.9,0,0,50,0,0
1,18,5,-1.4,2.8,0,0,44.44444444,0,0
1,18,6,-1.7,2.8,0,0,44.44444444,0,0
1,18,7,-1.9,2.7,0,0,41.66666667,0,0
1,18,8,-0.9,2.8,25,30.55555556,38.88888889,8.1,-57.9
1,18,9,-0.2,2.9,27.77777778,72.22222222,38.88888889,18,-47.6
1,18,10,1.3,3.1,47.22222222,130.5555556,44.44444444,26.2,-35.3
1,18,11,2.6,3.3,355.5555556,200,69.44444444,32,-20.7
